Lok Sabha-Monsoon Session-2022 | Department of Justice | India Search Search Accessibility Tools Accessibility Tools Color Contrast High Contrast Normal Contrast Highlight Links Invert Saturation Text Size Font Size Increase Font Size Decrease Normal Font Text Spacing Line Height Other controls Screen Reader Hide Images English हिन्दी विधि और न्याय मंत्रालय, भारत सरकार Ministry of Law and Justice, Government of India न्याय विभाग DEPARTMENT OF JUSTICE Menu Toggle More Home About Us History About Department Vision and Mission Functions of Department Organization Chart Administrative Setup Who’s Who Monthly Achievements Citizens’ Charter Acts and Rules Website Information Manager Administration of Justice Appointment of Judges Latest Orders of Appointment, Transfer etc. Memorandum of procedure of appointment of Supreme Court Judges Memorandum of procedure of appointment of High Court Judges List of Supreme Court Judges List of High Court Judges List of Chief Justice of the High Court Vacancy Positions High Courts Principal Seats and benches Justice-I Pay, Allowance and Pension First National Judicial Pay Commission Second National Judicial Pay Commission Memorandum of Understanding signed with other countries Pecuniary Jurisdiction of Delhi District Courts Use of Hindi and regional languages Redressal of Public Grievances Guidelines of Grievances Justice-II Fast Track Special Court (FTSCs) About Fast Track Special Court (FTSCs) Portal Special Courts for MP/MLA About Special Courts for MP/MLA Portal Sanctions Fast Track Court About Fast Track Court Portal Family Court About Family Court Portal National Judicial Academy About National Judicial Academy Website PFMS National Mission National Mission for Justice Delivery & Legal Reforms Vision Document Advisory Council CSS Judicial Infrastructure – Nyaya Vikas Ease of Doing Business Gram Nyayalaya Scheme for Action Research and Studies on Judicial Reforms Vacancy Position in District and Subordinate Courts eCourts MMP Dashboard Phase-I Phase-II Phase-III Composition of eCommittee eCommittee Newsletters eCourts Achievements Computerization and WAN connectivity CIS and COVID Management Software Patch The National Judicial Data Grid (NJDG) Virtual Courts Video Conferencing Live Streaming eFiling e-Payments eSewa Kendra eCourt Services Judgment Search Portal National Service and Tracking of Electronic Processes (NSTEP) Justice Clock Secure, Scalable & Sugamya Website as a Service (S3WAAS) Digitization of Records Information, Education & Communication (IEC) Awards and Recognition MIS Portal for CPCs (Official Use Only) WAN Monitoring Portal (Official Use Only) Training and Awareness Programs PFMS Access to Justice Designing Innovative Solutions for Holistic Access to Justice Tele Law About Tele Law Portal Pamphlet In Media Nyaya Bandhu (Pro Bono Legal Services) About Activities In Media Pamphlet Nyaya Bandhu (Pro Bono) Portal Legal Literacy & Legal Awareness About IEC Material Brochure Pamphlet Leaflet Webinars In Media Digital Library Information in Different Languages Videos National Legal Services Authority (NALSA) About NALSA Portal Grants-in-aid to NALSA Legal Aid Defense Counsel System (LADCS) Scheme Samvidhan@75 About Hamara Samvidhan Hamara Samman Hamara Samvidhan Hamara Samman portal Sabko Nyay- Har Ghar Nyaya Overview Activities Nav Bharat Nav Sankalp Overview Activities Vidhi Jagriti Abhiyan Overview Activities Samvidhan Katta About Guidelines for Submission Media Event National Event Overview Media Gallery 1st Regional Event Overview Media Gallery 2nd Regional Event Overview Media Gallery 3rd Regional Event Overview Media Gallery 4th Regional Event Overview Media Gallery Gallery Photos Videos Media Corner Press Release Photo Gallery Video Gallery Events Dashboard Azadi Ka Amrit Mahotsav National Legal Services Authority (NALSA) Tele-Law Other Programmes Others Parliament Questions Notices Recruitments Tenders Right to Information (RTI) PFMS Orders Schemes – Consolidated Guidelines Close Home Lok Sabha-Monsoon Session-2022 Print Share on Facebook Share on X Share on Linkedin Lok Sabha-Monsoon Session-2022 Lok Sabha (Monsoon Session)-2022 Sl No. Q.No. Q.Type Date Subject Answer 1 *286 STARRED 05.08.2022 Virtual Hearing of Cases in Courts English (PDF 241KB) 2 3417 UNSTARRED 05.08.2022 Intellectual Property Rights Division at Delhi High Court English (PDF 9KB) 3 3400 UNSTARRED 05.08.2022 Affordable Judicial Process for Weaker Sections English (PDF 165KB) 4 3412 UNSTARRED 05.08.2022 Children-Friendly Courts English (PDF 307KB) 5 3386 UNSTARRED 05.08.2022 Use of Hindi in Various Courts English (PDF 111KB) 6 3383 UNSTARRED 05.08.2022 Special Environment Courts English (PDF 121KB) 7 †3375 UNSTARRED 05.08.2022 Gram Nyalayas in Madhya Pradesh English (PDF 121KB) 8 3364 UNSTARRED 05.08.2022 Sexual Harassment in Court Campuses English (PDF 8KB) 9 3363 UNSTARRED 05.08.2022 National Judicial Infrastructure Authority English (PDF 281KB) 10 3336 UNSTARRED 05.08.2022 Vacancy of PWD employee in Courts English (PDF 7KB) 11 3314 UNSTARRED 05.08.2022 Special Courts for Cheque bounce cases English (PDF 99KB) 12 3302 UNSTARRED 05.08.2022 Disposal of cases English (PDF 550KB) 13 †3301 UNSTARRED 05.08.2022 e-Court Mission Mode Project English (PDF 355KB) 14 3298 UNSTARRED 05.08.2022 Reservation for transgender in judiciary English (PDF 471KB) 15 3277 UNSTARRED 05.08.2022 Impact of Delay in Appointment on Seniority of Judges English (PDF 365KB) 16 3267 UNSTARRED 05.08.2022 Representation of women in judiciary English (PDF 468KB) 17 †3375 UNSTARRED 05.08.2022 Gram Nyalayas in Madhya Pradesh English (PDF 121KB) 18 3249 UNSTARRED 05.08.2022 Pendency of legal cases in Courts English (PDF 369KB) 19 †3238 UNSTARRED 05.08.2022 Costly judicial process English (PDF 218KB) 20 †3235 UNSTARRED 05.08.2022 Promotion of e-Lok Adalat English (PDF 199KB) 21 3232 UNSTARRED 05.08.2022 Legal Services Clinics English (PDF 98KB) 22 2297 UNSTARRED 29.07.2022 Impact of adjournment of court cases English (PDF 11KB) 23 2281 UNSTARRED 29.07.2022 Nyaya Mitra Scheme English (PDF 95KB) 24 2291 UNSTARRED 29.07.2022 Use of Regional Language in High Court English (PDF 232KB) 25 2274 UNSTARRED 29.07.2022 Pending court cases in West Bengal English (PDF 14KB) 26 2248 UNSTARRED 29.07.2022 Special Courts for Offence against Women and Children English (PDF 587KB) 27 2234 UNSTARRED 29.07.2022 Recommendations for Appointment of Judges English (PDF 145KB) 28 2155 UNSTARRED 29.07.2022 Training of Law Interns English (PDF 452KB) 29 2151 UNSTARRED 29.07.2022 Circuit Bench of High Court in Bihar English (PDF 349KB) 30 2132 UNSTARRED 29.07.2022 Fast Track Court English (PDF 601KB) 31 2116 UNSTARRED 29.07.2022 Sanctioned posts in Courts English (PDF 774KB) 32 *81 STARRED 29.07.2022 Regional Benches of Supreme Court English (PDF 178KB) 33 1139 UNSTARRED 29.07.2022 Family Welfare Committees English (PDF 106KB) 34 1069 UNSTARRED 22.07.2022 Vacancy of Judgues in Telangana High Court English (PDF 281KB) 35 1041 UNSTARRED 22.07.2022 Samta Nyay Kendras English (PDF 98KB) 36 1034 UNSTARRED 22.07.2022 Legal Aid Programme English (PDF 160KB) 37 1025 UNSTARRED 22.07.2022 Federal Judiciary System English (PDF 93KB) 38 †1021 UNSTARRED 22.07.2022 Policy for eliminating corruption in judiciary English (PDF 212KB) 39 998 UNSTARRED 22.07.2022 Free Legal Services through Lok Adalats English (PDF 145KB) 40 995 UNSTARRED 22.07.2022 Pending cases in courts English (PDF 674KB) 41 986 UNSTARRED 22.07.2022 Shifting of Principal Seat of High Court of Andhra Pradesh English (PDF 279KB) 42 978 UNSTARRED 22.07.2022 Nyaya Mitras English (PDF 93KB) 43 †962 UNSTARRED 22.07.2022 Lok Adalats English (PDF 284KB) 44 958 UNSTARRED 22.07.2022 Construction of Court Halls English (PDF 232KB) 45 953 UNSTARRED 22.07.2022 Analysis of pendency of cases in Courts English (PDF 251KB) Website Policies Hyperlinking Policy Copyright Policy Privacy Policy Terms and Conditions Feedback Contact Us Help FAQ WIM Visitor Summary Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI Developed and hosted by National Informatics Centre , Ministry of Electronics & Information Technology , Government of India Last Updated: Aug 11, 2025 Certified Quality Website

TABLE DATA:
Sl No.	Q.No.	Q.Type	Date	Subject	Answer
1	*286	STARRED	05.08.2022	Virtual Hearing of Cases in Courts	English (PDF 241KB)
2	3417	UNSTARRED	05.08.2022	Intellectual Property Rights Division at Delhi High Court	English (PDF 9KB)
3	3400	UNSTARRED	05.08.2022	Affordable Judicial Process for Weaker Sections	English (PDF 165KB)
4	3412	UNSTARRED	05.08.2022	Children-Friendly Courts	English (PDF 307KB)
5	3386	UNSTARRED	05.08.2022	Use of Hindi in Various Courts	English (PDF 111KB)
6	3383	UNSTARRED	05.08.2022	Special Environment Courts	English (PDF 121KB)
7	†3375	UNSTARRED	05.08.2022	Gram Nyalayas in Madhya Pradesh	English (PDF 121KB)
8	3364	UNSTARRED	05.08.2022	Sexual Harassment in Court Campuses	English (PDF 8KB)
9	3363	UNSTARRED	05.08.2022	National Judicial Infrastructure Authority	English (PDF 281KB)
10	3336	UNSTARRED	05.08.2022	Vacancy of PWD employee in Courts	English (PDF 7KB)
11	3314	UNSTARRED	05.08.2022	Special Courts for Cheque bounce cases	English (PDF 99KB)
12	3302	UNSTARRED	05.08.2022	Disposal of cases	English (PDF 550KB)
13	†3301	UNSTARRED	05.08.2022	e-Court Mission Mode Project	English (PDF 355KB)
14	3298	UNSTARRED	05.08.2022	Reservation for transgender in judiciary	English (PDF 471KB)
15	3277	UNSTARRED	05.08.2022	Impact of Delay in Appointment on Seniority of Judges	English (PDF 365KB)
16	3267	UNSTARRED	05.08.2022	Representation of women in judiciary	English (PDF 468KB)
17	†3375	UNSTARRED	05.08.2022	Gram Nyalayas in Madhya Pradesh	English (PDF 121KB)
18	3249	UNSTARRED	05.08.2022	Pendency of legal cases in Courts	English (PDF 369KB)
19	†3238	UNSTARRED	05.08.2022	Costly judicial process	English (PDF 218KB)
20	†3235	UNSTARRED	05.08.2022	Promotion of e-Lok Adalat	English (PDF 199KB)
21	3232	UNSTARRED	05.08.2022	Legal Services Clinics	English (PDF 98KB)
22	2297	UNSTARRED	29.07.2022	Impact of adjournment of court cases	English (PDF 11KB)
23	2281	UNSTARRED	29.07.2022	Nyaya Mitra Scheme	English (PDF 95KB)
24	2291	UNSTARRED	29.07.2022	Use of Regional Language in High Court	English (PDF 232KB)
25	2274	UNSTARRED	29.07.2022	Pending court cases in West Bengal	English (PDF 14KB)
26	2248	UNSTARRED	29.07.2022	Special Courts for Offence against Women and Children	English (PDF 587KB)
27	2234	UNSTARRED	29.07.2022	Recommendations for Appointment of Judges	English (PDF 145KB)
28	2155	UNSTARRED	29.07.2022	Training of Law Interns	English (PDF 452KB)
29	2151	UNSTARRED	29.07.2022	Circuit Bench of High Court in Bihar	English (PDF 349KB)
30	2132	UNSTARRED	29.07.2022	Fast Track Court	English (PDF 601KB)
31	2116	UNSTARRED	29.07.2022	Sanctioned posts in Courts	English (PDF 774KB)
32	*81	STARRED	29.07.2022	Regional Benches of Supreme Court	English (PDF 178KB)
33	1139	UNSTARRED	29.07.2022	Family Welfare Committees	English (PDF 106KB)
34	1069	UNSTARRED	22.07.2022	Vacancy of Judgues in Telangana High Court	English (PDF 281KB)
35	1041	UNSTARRED	22.07.2022	Samta Nyay Kendras	English (PDF 98KB)
36	1034	UNSTARRED	22.07.2022	Legal Aid Programme	English (PDF 160KB)
37	1025	UNSTARRED	22.07.2022	Federal Judiciary System	English (PDF 93KB)
38	†1021	UNSTARRED	22.07.2022	Policy for eliminating corruption in judiciary	English (PDF 212KB)
39	998	UNSTARRED	22.07.2022	Free Legal Services through Lok Adalats	English (PDF 145KB)
40	995	UNSTARRED	22.07.2022	Pending cases in courts	English (PDF 674KB)
41	986	UNSTARRED	22.07.2022	Shifting of Principal Seat of High Court of Andhra Pradesh	English (PDF 279KB)
42	978	UNSTARRED	22.07.2022	Nyaya Mitras	English (PDF 93KB)
43	†962	UNSTARRED	22.07.2022	Lok Adalats	English (PDF 284KB)
44	958	UNSTARRED	22.07.2022	Construction of Court Halls	English (PDF 232KB)
45	953	UNSTARRED	22.07.2022	Analysis of pendency of cases in Courts	English (PDF 251KB)
